_source,_cellid,stem_cell_name,stem_cell_type,cell_grade,produced_by,provider_distributor,reference_publications,gender_of_donor,ethnicity_of_donor,health_status,age_of_donor,source_cell_type,organ_tissue_of_origin_of_source_cell
hPSCreg,WIBRe001-A-24,"WIBRe001-A-24 (WIBR3_LRRK2_G2019S_216_Het)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-25,"WIBRe001-A-25 (WIBR3_LRRK2_G2019S_65_Homo)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-26,"WIBRe001-A-26 (WIBR3_DJ1_X1-5DEL_2860)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-27,"WIBRe001-A-27 (WIBR3_DJ1_X1-5DEL_2872)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-28,"WIBRe001-A-28 (WIBR3_DJ1_X1-5DEL_2876)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-32,"WIBRe001-A-32 (WIBR3_EWT_S1)",,,"Albert Einstein College of Medicine",,doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-33,"WIBRe001-A-33 (WIBR3_EWT_S2)",,,"Albert Einstein College of Medicine",,doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-34,"WIBRe001-A-34 (WIBR3_EWT_S3)",,,"Albert Einstein College of Medicine",,doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-35,"WIBRe001-A-35 (WIBR3_EWT_S4)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-36,"WIBRe001-A-36 (WIBR3_EWT_S5)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-37,"WIBRe001-A-37 (WIBR3_EWT_S6)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-38,"WIBRe001-A-38 (WIBR3_EWT_S7)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-39,"WIBRe001-A-39 (WIBR3_EWT_S8)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-40,"WIBRe001-A-40 (WIBR3_LRRK2_G2019S_2093_Het)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-41,"WIBRe001-A-41 (WIBR3_SNCA_A30P_C8-2)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-42,"WIBRe001-A-42 (WIBR3_SNCA A30P_F12-1)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-43,"WIBRe001-A-43 (WIBR3_GBA1_IVS2_Het_10C2F)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-44,"WIBRe001-A-44 (WIBR3_GBA1_IVS2_Het_10D11A)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-45,"WIBRe001-A-45 (WIBR3_GBA1_IVS2_Het_3C4B)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-46,"WIBRe001-A-46 (WIBR3_GBA1_IVS2_Het_3C3I)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-47,"WIBRe001-A-47 (WIBR3_SYNJ1_R258Q/FS_E4-1)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-48,"WIBRe001-A-48 (WIBR3_SYNJ1_R258Q_Homo_A5-1)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-49,"WIBRe001-A-49 (WIBR3_ATP13A2_FS_Homo_12_6)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-50,"WIBRe001-A-50 (WIBR3_ATP13A2_FS_Homo_12_2)",,,"Albert Einstein College of Medicine",,doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-51,"WIBRe001-A-51 (WIBR3_ATP13A2_FS_Homo_ 6_1)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-52,"WIBRe001-A-52 (WIBR3_ATP13A2_FS_ 5_6)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-53,"WIBRe001-A-53 (WIBR3_ATP13A2_FS_Homo_2_5)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-54,"WIBRe001-A-54 (WIBR3_VPS13C_FS_Homo_E10-2)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-55,"WIBRe001-A-55 (WIBR3_VPS13C_W395C_Homo_C11-3)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-56,"WIBRe001-A-56 (WIBR3_VPS13C_W395C_Homo_C6-2)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-57,"WIBRe001-A-57 (WIBR3_VPS13C_W395C_Homo_C3-1)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-58,"WIBRe001-A-58 (WIBR3_VPS13C_FS_Homo_H3-1)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-59,"WIBRe001-A-59 (WIBR3_VPS13C_A444P_Het_E12-1)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-60,"WIBRe001-A-60 (WIBR3_VPS13C_A444P_Homo_C8-2)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,AHJNMUi001-A,AHJNMUi001-A,,,"Affiliated Hospital of Jining Medical University(AHJNMU)","Affiliated Hospital of Jining Medical University(AHJNMU)",,male,Han,"arrhythmogenic right ventricular cardiomyopathy",,"Peripheral Blood Mononuclear Cell",
hPSCreg,AHMUi001-A,AHMUi001-A,,,"dongmei ji","dongmei ji",doi:10.1016/j.scr.2022.102858,male,"Asian (China)","Leber hereditary optic neuropathy",,"Derived Peripheral Blood Mononuclear Cell",
hPSCreg,AHMUi004-A,"AHMUi004-A (AHMUMTi004-1)",,,"dongmei ji",,,female,,,,"Peripheral Blood Mononuclear Cell",
hPSCreg,AHQUi001-A,"AHQUi001-A (IPS35-2)",,,"Affiliated Hospital of Qingdao University",,"doi:10.1016/j.scr.2020.101802 -- doi:10.1016/j.scr.2021.102230 -- doi:10.12290/xhyxzz.2021-0760",male,"Chinese Han","NON RARE IN EUROPE: Hyperlipoproteinemia type 4",,"Peripheral Blood Mononuclear Cell",
hPSCreg,AHQUi001-A-1,"AHQUi001-A-1 (IPS35-2-R)",,,"Affiliated Hospital of Qingdao University",,"doi:10.1016/j.scr.2021.102230 -- doi:10.12290/xhyxzz.2021-0760",male,"Chinese Han","NON RARE IN EUROPE: Hyperlipoproteinemia type 4",,,
hPSCreg,AIBNi015-A,"AIBNi015-A (SPG1-AU01C15)",,,"Australian Institute for Bioengineering and Nanotechnology",,doi:10.1016/j.scr.2022.102917,female,,"hereditary spastic paraplegia 56",,Fibroblast,
hPSCreg,AIBNi016-A,"AIBNi016-A (SPG2-S376C1)",,,"Australian Institute for Bioengineering and Nanotechnology",,doi:10.1016/j.scr.2022.102917,female,,"hereditary spastic paraplegia 56",,"Peripheral Blood Mononuclear Cell",
hPSCreg,AIBNi017-A,"AIBNi017-A (SPGh1-S075mC2)",,,"Australian Institute for Bioengineering and Nanotechnology",,doi:10.1016/j.scr.2022.102917,female,,healthy,,"Peripheral Blood Mononuclear Cell",
hPSCreg,AIBNi018-A,"AIBNi018-A (SPGh2-S964pC6)",,,"Australian Institute for Bioengineering and Nanotechnology",,doi:10.1016/j.scr.2022.102917,male,,healthy,,"Peripheral Blood Mononuclear Cell",
hPSCreg,UCSFi001-A-1,"UCSFi001-A-1 (AICS-0005-050)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",doi:10.1091/mbc.e17-03-0209,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-2,"UCSFi001-A-2 (AICS-0012-105)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research","doi:10.1091/mbc.e17-03-0209 -- doi:10.1039/d2lc00686c",male,Asian,healthy,,,
hPSCreg,UCSFi001-A-3,"UCSFi001-A-3 (AICS-0016-184)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research","doi:10.1091/mbc.e17-03-0209 -- doi:10.1016/j.cell.2021.04.034",male,Asian,healthy,,,
hPSCreg,UCSFi001-A-4,"UCSFi001-A-4 (AICS-0075-085)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-5,"UCSFi001-A-5 (AICS-0011-027)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",doi:10.1091/mbc.e17-03-0209,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-6,"UCSFi001-A-6 (AICS-0013-210)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research","doi:10.1091/mbc.e17-03-0209 -- doi:10.3791/58130",male,Asian,healthy,,,
hPSCreg,UCSFi001-A-7,"UCSFi001-A-7 (AICS-0017-065)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",doi:10.1091/mbc.e17-03-0209,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-8,"UCSFi001-A-8 (AICS-0010-055)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",doi:10.1091/mbc.e17-03-0209,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-9,"UCSFi001-A-9 (AICS-0014-006)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",doi:10.1091/mbc.e17-03-0209,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-10,"UCSFi001-A-10 (AICS-0023-020)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",doi:10.1091/mbc.e17-03-0209,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-11,"UCSFi001-A-11 (AICS-0024-080)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research","doi:10.1091/mbc.e17-03-0209 -- doi:10.1016/j.cell.2021.04.034",male,Asian,healthy,,,
hPSCreg,UCSFi001-A-12,"UCSFi001-A-12 (AICS-0036-006)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-13,"UCSFi001-A-13 (AICS-0022-037)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-14,"UCSFi001-A-14 (AICS-0025-001)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-15,"UCSFi001-A-15 (AICS-0025-044)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-16,"UCSFi001-A-16 (AICS-0031-035)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-17,"UCSFi001-A-17 (AICS-0032-019)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-18,"UCSFi001-A-18 (AICS-0030-022)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-19,"UCSFi001-A-19 (AICS-0033-115)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",doi:10.3389/fcvm.2022.1015473,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-20,"UCSFi001-A-20 (AICS-0040-013)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-21,"UCSFi001-A-21 (AICS-0040-035)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-22,"UCSFi001-A-22 (AICS-0053-016)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-23,"UCSFi001-A-23 (AICS-0054-091)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-24,"UCSFi001-A-24 (AICS-0057-050)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-25,"UCSFi001-A-25 (AICS-0058-067)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-26,"UCSFi001-A-26 (AICS-0037-172)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",doi:10.1016/j.cell.2021.04.034,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-27,"UCSFi001-A-27 (AICS-0048-039)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",doi:10.1016/j.cell.2021.04.034,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-28,"UCSFi001-A-28 (AICS-0061-036)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",doi:10.1089/crispr.2023.0033,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-29,"UCSFi001-A-29 (AICS-0052-003)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",doi:10.1016/j.cell.2021.04.034,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-30,"UCSFi001-A-30 (AICS-0046-051)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",doi:10.1016/j.cell.2021.04.034,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-31,"UCSFi001-A-31 (AICS-0069-088)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-32,"UCSFi001-A-32 (AICS-0060-027)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",doi:10.1016/j.cell.2021.04.034,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-33,"UCSFi001-A-33 (AICS-0059-036)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-34,"UCSFi001-A-34 (AICS-0068-009)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-35,"UCSFi001-A-35 (AICS-0080-069)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-36,"UCSFi001-A-36 (AICS-0036-028)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-37,"UCSFi001-A-37 (AICS-0074-026)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-38,"UCSFi001-A-38 (AICS-0084-018)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-39,"UCSFi001-A-39 (AICS-089-061)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-40,"UCSFi001-A-40 (AICS-094-024)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-41,"UCSFi001-A-41 (AICS-0034-062)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-42,"UCSFi001-A-42 (AICS-0086-147)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-43,"UCSFi001-A-43 (AICS-0087-031)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-44,"UCSFi001-A-44 (AICS-0063-096)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-45,"UCSFi001-A-45 (AICS-0090-391)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-46,"UCSFi001-A-46 (AICS-0095-018)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-47,"UCSFi001-A-47 (AICS-0096-074)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-48,"UCSFi001-A-48 (AICS-0093-025)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-55,"UCSFi001-A-55 (AICS-0078-079)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-56,"UCSFi001-A-56 (AICS-0088-083)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-57,"UCSFi001-A-57 (AICS-0099-020)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-63,"UCSFi001-A-63 (AICS-0082-001)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-66,"UCSFi001-A-66 (AICS-0114-032)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-67,"UCSFi001-A-67 (AICS-0114-035)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-69,"UCSFi001-A-69 (AICS-0083-005)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,UCSFi001-A-70,"UCSFi001-A-70 (AICS-0083-124)",,,"Allen Institute for Cell Science","Coriell Institute for Medical Research",,male,Asian,healthy,,,
hPSCreg,AMUFAHi001-A,AMUFAHi001-A,,,"The First Affiliated Hospital of Anhui Medical University",,doi:10.1016/j.scr.2021.102372,female,,healthy,,"Peripheral Blood Mononuclear Cell",
hPSCreg,AMUFAHi002-A,"AMUFAHi002-A (AY20210813)",,,"The First Affiliated Hospital of Anhui Medical University",,"doi:10.1016/j.scr.2022.102875 -- doi:10.1007/s12015-023-10627-w",female,,"polycystic ovary syndrome",,"Peripheral Blood Mononuclear Cell",
hPSCreg,AMUFAHi003-A,AMUFAHi003-A,,,"The First Affiliated Hospital of Anhui Medical University",,doi:10.1016/j.scr.2022.102776,female,"Han Chinese",healthy,,"Peripheral Blood Mononuclear Cell",
hPSCreg,RUCDRi002-A-72,RUCDRi002-A-72,,,"Angios GmbH",,,male,,healthy,,,
hPSCreg,WAe009-A-1F,"WAe009-A-1F (TSC2-/-)",,,"Anzhen Hospital Capital Medical university",,doi:10.1016/j.scr.2024.103399,female,N/A,healthy,,,
hPSCreg,WAe009-A-36,"WAe009-A-36 (JPH2-KO)",,,"Anzhen Hospital","Anzhen Hospital","doi:10.1016/j.scr.2020.101930 -- doi:10.1016/j.jnlest.2021.100097 -- doi:10.1016/j.scr.2021.102470 -- doi:10.1016/j.scr.2022.102652 -- doi:10.1038/s41420-022-00945-2 -- doi:10.1152/physrev.00024.2021 -- doi:10.1016/j.scr.2022.102923 -- doi:10.1016/j.phrs.2022.106480 -- doi:10.1016/j.scr.2023.103029 -- doi:10.1016/j.scr.2023.103082 -- doi:10.1016/j.scr.2023.103077 -- doi:10.1038/s41467-023-39337-0 -- doi:10.1016/j.scr.2024.103384 -- doi:10.1146/annurev-physiol-042022-014926",female,N/A,healthy,,,
hPSCreg,WAe009-A-59,"WAe009-A-59 (dHAND KO)",,,"Anzhen Hospital","Anzhen Hospital",doi:10.1016/j.scr.2021.102471,female,N/A,healthy,,,
hPSCreg,WAe009-A-61,WAe009-A-61,,,"Anzhen Hospital","Anzhen Hospital",doi:10.1016/j.scr.2021.102470,female,N/A,healthy,,,
hPSCreg,WAe009-A-62,"WAe009-A-62 (KCNQ1 KO)",,,"Anzhen Hospital","Anzhen Hospital",doi:10.1016/j.scr.2021.102467,female,N/A,healthy,,,
