_source,_cellid,stem_cell_name,stem_cell_type,cell_grade,produced_by,provider_distributor,reference_publications,gender_of_donor,ethnicity_of_donor,health_status,age_of_donor,source_cell_type,organ_tissue_of_origin_of_source_cell
SKIP,SKIP000032,A000005#2,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"(amyotrophic lateral sclerosis)",,,Skin
SKIP,SKIP000033,A000005#7,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"(amyotrophic lateral sclerosis)",,,Skin
SKIP,SKIP000034,"A000054# 2","iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"ornithine transcarbamylase deficiency",,,Skin
SKIP,SKIP000035,"A000054# 4","iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"ornithine transcarbamylase deficiency",,,Skin
SKIP,SKIP000036,"A000054# 6","iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"ornithine transcarbamylase deficiency",,,Skin
SKIP,SKIP000037,A000006#4-2,"iPS Cell",,Yamada,"Kumamoto University",,,Unknown,"Muscular dystrophy",,,Skin
SKIP,SKIP000038,A000006#4-3,"iPS Cell",,Yamada,"Kumamoto University",,,Unknown,"Muscular dystrophy",,,Skin
SKIP,SKIP000039,A000006#6-1,"iPS Cell",,Yamada,"Kumamoto University",,,Unknown,"Muscular dystrophy",,,Skin
SKIP,SKIP000040,A000007#5,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"(amyotrophic lateral sclerosis)",,,Skin
SKIP,SKIP000041,A000007#6,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"(amyotrophic lateral sclerosis)",,,Skin
SKIP,SKIP000042,A000007#7,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"(amyotrophic lateral sclerosis)",,,Skin
SKIP,SKIP000043,A000008#3-1,"iPS Cell",,Yamada,"Kumamoto University",,,Unknown,"Charcot-Marie-Tooth Disease",,,Skin
SKIP,SKIP000044,A000008#3-2,"iPS Cell",,Yamada,"Kumamoto University",,,Unknown,"Charcot-Marie-Tooth Disease",,,Skin
SKIP,SKIP000045,A000008#5-2,"iPS Cell",,Yamada,"Kumamoto University",,,Unknown,"Charcot-Marie-Tooth Disease",,,Skin
SKIP,SKIP000046,A000010#1-8,"iPS Cell",,Yamada,"Kumamoto University",,,Unknown,"(amyotrophic lateral sclerosis)",,,Skin
SKIP,SKIP000047,A000010#3-3,"iPS Cell",,Yamada,"Kumamoto University",,,Unknown,"(amyotrophic lateral sclerosis)",,,Skin
SKIP,SKIP000048,A000010#3-4,"iPS Cell",,Yamada,"Kumamoto University",,,Unknown,"(amyotrophic lateral sclerosis)",,,Skin
SKIP,SKIP000049,A000020#8,"iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"Congenital myopathies",,,Skin
SKIP,SKIP000050,A000020#10,"iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"Congenital myopathies",,,Skin
SKIP,SKIP000051,A000020#12,"iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"Congenital myopathies",,,Skin
SKIP,SKIP000052,A000023#7,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"(amyotrophic lateral sclerosis)",,,Skin
SKIP,SKIP000053,A000023#10,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"(amyotrophic lateral sclerosis)",,,Skin
SKIP,SKIP000054,A000023#11,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"(amyotrophic lateral sclerosis)",,,Skin
SKIP,SKIP000055,A000056#1,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Tay-Sachs Disease",,,Skin
SKIP,SKIP000056,A000056#2,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Tay-Sachs Disease",,,Skin
SKIP,SKIP000057,A000056#3,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Tay-Sachs Disease",,,Skin
SKIP,SKIP000058,A000074#1,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Allan-Herndon syndrome",,,Skin
SKIP,SKIP000059,A000074#2,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Allan-Herndon syndrome",,,Skin
SKIP,SKIP000060,A000074#3,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Allan-Herndon syndrome",,,Skin
SKIP,SKIP000061,A000088#8,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Laurence-Moon(-Bardet)-Biedl Syndrome",,,Skin
SKIP,SKIP000062,A000088#10,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Laurence-Moon(-Bardet)-Biedl Syndrome",,,Skin
SKIP,SKIP000063,A000088#12,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Laurence-Moon(-Bardet)-Biedl Syndrome",,,Skin
SKIP,SKIP000064,A000009#2,"iPS Cell",,Katayama,"Kumamoto University",,,Unknown,Dermatopolymyositis,,,Skin
SKIP,SKIP000065,A000009#6,"iPS Cell",,Katayama,"Kumamoto University",,,Unknown,Dermatopolymyositis,,,Skin
SKIP,SKIP000066,A000009#7,"iPS Cell",,Katayama,"Kumamoto University",,,Unknown,Dermatopolymyositis,,,Skin
SKIP,SKIP000067,A000015#5,"iPS Cell",,DNAVEC,"Kumamoto University",,,Unknown,"Duchenne Muscular dystrophy",,,Skin
SKIP,SKIP000068,A000015#7,"iPS Cell",,DNAVEC,"Kumamoto University",,,Unknown,"Duchenne Muscular dystrophy",,,Skin
SKIP,SKIP000069,A000015#11,"iPS Cell",,DNAVEC,"Kumamoto University",,,Unknown,"Duchenne Muscular dystrophy",,,Skin
SKIP,SKIP000070,A000016#1,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Duchenne Muscular dystrophy",,,Skin
SKIP,SKIP000071,A000016#2,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Duchenne Muscular dystrophy",,,Skin
SKIP,SKIP000072,A000016#3,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Duchenne Muscular dystrophy",,,Skin
SKIP,SKIP000073,A000017#3,"iPS Cell",,DNAVEC,"Kumamoto University",,,Unknown,"Duchenne Muscular dystrophy",,,Skin
SKIP,SKIP000074,A000017#10,"iPS Cell",,DNAVEC,"Kumamoto University",,,Unknown,"Duchenne Muscular dystrophy",,,Skin
SKIP,SKIP000075,A000017#11,"iPS Cell",,DNAVEC,"Kumamoto University",,,Unknown,"Duchenne Muscular dystrophy",,,Skin
SKIP,SKIP000076,A000022#9,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Dermatopolymyositis, unspecified",,,Skin
SKIP,SKIP000077,A000022#11,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Dermatopolymyositis, unspecified",,,Skin
SKIP,SKIP000078,A000022#14,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Dermatopolymyositis, unspecified",,,Skin
SKIP,SKIP000079,A000027#32-1,"iPS Cell",,Yoneda,"Kumamoto University",,,Unknown,"Pompe Disease",,,Skin
SKIP,SKIP000080,A000027#33-1,"iPS Cell",,Yoneda,"Kumamoto University",,,Unknown,"Pompe Disease",,,Skin
SKIP,SKIP000081,A000027#34-2,"iPS Cell",,Yoneda,"Kumamoto University",,,Unknown,"Pompe Disease",,,Skin
SKIP,SKIP000082,A000032#2,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Systemic Scleroderma",,,Skin
SKIP,SKIP000083,A000032#3,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Systemic Scleroderma",,,Skin
SKIP,SKIP000084,A000032#4,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Systemic Scleroderma",,,Skin
SKIP,SKIP000085,A000066#2,"iPS Cell",,Towata,"Kumamoto University",,,Unknown,"Inclusion body myositis",,,Skin
SKIP,SKIP000086,A000066#3,"iPS Cell",,Towata,"Kumamoto University",,,Unknown,"Inclusion body myositis",,,Skin
SKIP,SKIP000087,A000066#5,"iPS Cell",,Towata,"Kumamoto University",,,Unknown,"Inclusion body myositis",,,Skin
SKIP,SKIP000088,A000095#2-3,"iPS Cell",,Towata,"Kumamoto University",,,Unknown,Scleroderma,,,Skin
SKIP,SKIP000089,A000095#2-10,"iPS Cell",,Towata,"Kumamoto University",,,Unknown,Scleroderma,,,Skin
SKIP,SKIP000090,A000095#3-6,"iPS Cell",,Towata,"Kumamoto University",,,Unknown,Scleroderma,,,Skin
SKIP,SKIP000091,A000014#3-6,"iPS Cell",,Yamada,"Kumamoto University",,,Unknown,"limb-girdleMuscular dystrophy",,,Skin
SKIP,SKIP000092,A000014#4-5,"iPS Cell",,Yamada,"Kumamoto University",,,Unknown,"limb-girdleMuscular dystrophy",,,Skin
SKIP,SKIP000093,A000014#5-4,"iPS Cell",,Yamada,"Kumamoto University",,,Unknown,"limb-girdleMuscular dystrophy",,,Skin
SKIP,SKIP000094,A000052#2,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,hyperlactacidemia,,,Skin
SKIP,SKIP000095,A000052#3,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,hyperlactacidemia,,,Skin
SKIP,SKIP000096,A000052#5,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,hyperlactacidemia,,,Skin
SKIP,SKIP000097,A000055#3,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Deficiency of pyruvate dehydrogenase",,,Skin
SKIP,SKIP000098,A000055#4,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Deficiency of pyruvate dehydrogenase",,,Skin
SKIP,SKIP000099,A000055#5,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Deficiency of pyruvate dehydrogenase",,,Skin
SKIP,SKIP000100,A000126#1,"iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"Alpha thalassaemia",,,Skin
SKIP,SKIP000101,A000126#2,"iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"Alpha thalassaemia",,,Skin
SKIP,SKIP000102,A000145#3-1,"iPS Cell",,Kaneko,"Kumamoto University",,,Unknown,"Primary pulmonary hypertension",,,Skin
SKIP,SKIP000103,A000145#3-2,"iPS Cell",,Kaneko,"Kumamoto University",,,Unknown,"Primary pulmonary hypertension",,,Skin
SKIP,SKIP000104,A000145#3-4,"iPS Cell",,Kaneko,"Kumamoto University",,,Unknown,"Primary pulmonary hypertension",,,Skin
SKIP,SKIP000105,A000180#2,"iPS Cell",,Date,"Kumamoto University",,,Unknown,"Ehlers-Danlos syndrome",,,Skin
SKIP,SKIP000106,A000180#5,"iPS Cell",,Date,"Kumamoto University",,,Unknown,"Ehlers-Danlos syndrome",,,Skin
SKIP,SKIP000107,A000180#6,"iPS Cell",,Date,"Kumamoto University",,,Unknown,"Ehlers-Danlos syndrome",,,Skin
SKIP,SKIP000108,A000205#3,"iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"Moyamoya disease",,,Skin
SKIP,SKIP000109,A000205#5,"iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"Moyamoya disease",,,Skin
SKIP,SKIP000110,A000205#8,"iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"Moyamoya disease",,,Skin
SKIP,SKIP000111,A000002#2-1,"iPS Cell",,DNAVEC,"Kumamoto University",,,Unknown,"Amyloid polyneuropathy",,,"Skin "
SKIP,SKIP000112,A000002#2-2,"iPS Cell","Research Grade",DNAVEC,"Kumamoto University",,,Unknown,"Amyloid polyneuropathy",,,"Skin "
SKIP,SKIP000113,A000002#2-5,"iPS Cell","Research Grade",DNAVEC,"Kumamoto University",,,Unknown,"Amyloid polyneuropathy",,,"Skin "
SKIP,SKIP000114,A000003#3-6,"iPS Cell","Research Grade",DNAVEC,"Kumamoto University",,,Unknown,"Amyloid polyneuropathy",,,"Skin "
SKIP,SKIP000115,A000003#3-18,"iPS Cell","Research Grade",DNAVEC,"Kumamoto University",,,Unknown,"Amyloid polyneuropathy",,,"Skin "
SKIP,SKIP000116,A000013#1,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Spinal muscular atrophy, juvenile form, type III [Kugelberg-Welander]",,,Skin
SKIP,SKIP000117,A000013#2,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Spinal muscular atrophy, juvenile form, type III [Kugelberg-Welander]",,,Skin
SKIP,SKIP000118,A000013#3,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Spinal muscular atrophy, juvenile form, type III [Kugelberg-Welander]",,,Skin
SKIP,SKIP000119,A000018#18-12-2,"iPS Cell",,DNAVEC,"Kumamoto University",,,Unknown,"Muscular dystrophy, benign [Becker]",,,Skin
SKIP,SKIP000120,A000018#18-12-25,"iPS Cell",,DNAVEC,"Kumamoto University",,,Unknown,"Muscular dystrophy, benign [Becker]",,,Skin
SKIP,SKIP000121,A000018#18-15-8,"iPS Cell",,DNAVEC,"Kumamoto University",,,Unknown,"Muscular dystrophy, benign [Becker]",,,Skin
SKIP,SKIP000122,A000026#1,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]",,,Skin
SKIP,SKIP000123,A000026#2,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]",,,Skin
SKIP,SKIP000124,A000026#3,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]",,,Skin
SKIP,SKIP000125,A000069#14-7,"iPS Cell",,Yoneda,"Kumamoto University",,,Unknown,"Metachromatic leukodystrophy",,,Skin
SKIP,SKIP000126,A000069#15-1,"iPS Cell",,Yoneda,"Kumamoto University",,,Unknown,"Metachromatic leukodystrophy",,,Skin
SKIP,SKIP000127,A000069#15-4,"iPS Cell",,Yoneda,"Kumamoto University",,,Unknown,"Metachromatic leukodystrophy",,,Skin
SKIP,SKIP000128,A000182#1,"iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"Moyamoya disease",,,Skin
SKIP,SKIP000129,A000182#4,"iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"Moyamoya disease",,,Skin
SKIP,SKIP000130,A000182#6,"iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"Moyamoya disease",,,Skin
SKIP,SKIP000131,A000196#1,"iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"Alpha thalassaemia",,,Skin
SKIP,SKIP000132,A000196#5,"iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"Alpha thalassaemia",,,Skin
SKIP,SKIP000133,A000196#6,"iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"Alpha thalassaemia",,,Skin
SKIP,SKIP000134,K10M5,"iPS Cell",,"Masayo Takahashi","Riken Center for Developmental Biology (CDB)",21347327,,Asian,"Retinitis pigmentosa",,,"Skin "
SKIP,SKIP000135,K10M17,"iPS Cell",,"Masayo Takahashi","Riken Center for Developmental Biology (Riken CDB)",,,Asian,"Retinitis pigmentosa",,,Skin
SKIP,SKIP000136,K10M19,"iPS Cell",,"Masayo Takahashi","Riken Center for Developmental Biology (Riken CDB)",,,Asian,"Retinitis pigmentosa",,,Skin
SKIP,SKIP000137,K11M4,"iPS Cell",,"Masayo Takahashi","Riken Center for Developmental Biology (Riken CDB)",,,Asian,"Retinitis pigmentosa",,,Skin
SKIP,SKIP000138,K11PD17,"iPS Cell",,"Masayo Takahashi","Riken Center for Developmental Biology (Riken CDB)",,,Asian,"Retinitis pigmentosa",,,Skin
SKIP,SKIP000139,K11PD18,"iPS Cell",,"Masayo Takahashi","Riken Center for Developmental Biology (Riken CDB)",,,Asian,"Retinitis pigmentosa",,,Skin
SKIP,SKIP000143,59M8,"iPS Cell",,"Masayo Takahashi","Riken Center for Developmental Biology",21347327,,Asian,"Retinitis pigmentosa",,,Skin
SKIP,SKIP000144,PID0402,"iPS Cell",,"Huan-Ting Lin","University of Tokyo, Institute of Medical Science",,,Asian,"Chronic (childhood) granulomatous disease",,,"blood (unmobilized, CD34-rich)"
SKIP,SKIP000145,PID0401,"iPS Cell",,"Huan-Ting Lin","University of Tokyo, Institute of Medical Science",,,Asian,"Chronic (childhood) granulomatous disease",,,"blood (unmobilized, CD34-rich)"
SKIP,SKIP000146,PID0102,"iPS Cell",,"Dong Hyuck Ahn","University of Tokyo, Institute of Medical Science",,,Asian,"Adenosine deaminase [ADA] deficiency",,,"bone marrow-derived stromal cells"
SKIP,SKIP000149,"KhES-1 c1","ES Cell",,"Hirofumi Suemori","Institute for Frontier Medical Sciences, Kyoto University",16931777,,Asian,,,,Blastocyst
SKIP,SKIP000151,KhES-2,"ES Cell",,"Norio Nakatsuji","Institute for Frontier Medical Sciences, Kyoto University",16707099,,Asian,,,,Blastocyst
SKIP,SKIP000152,KhES-3,"ES Cell",,"Norio Nakatsuji","Institute for Frontier Medical Sciences, Kyoto University",16707099,,Asian,,,,Blastocyst
SKIP,SKIP000153,"KhES-3 late passage
p120","ES Cell",,"Hirofumi Suemori","Institute for Frontier Medical Sciences, Kyoto University",16707099,,Asian,,,,Blastocyst
SKIP,SKIP000154,KhES-4,"ES Cell",,"Norio Nakatsuji","Institute for Frontier Medical Sciences, Kyoto University",,,Asian,,,,Blastocyst
SKIP,SKIP000155,"KhES-4 late passage
p100","ES Cell",,"Hirofumi Suemori","Institute for Frontier Medical Sciences, Kyoto University",,,Asian,,,,Blastocyst
SKIP,SKIP000156,KhES-5,"ES Cell",,"Norio Nakatsuji","Institute for Frontier Medical Sciences, Kyoto University",,,Asian,,,,Blastocyst
SKIP,SKIP000169,UC706,"Mesenchymal Stem Cell",,"Akihiro Umezawa","National Center for Child Health and Development",,,Unknown,,,,Cord
SKIP,SKIP000170,HiPS-RIKEN-5A,"iPS Cell","Research Grade","Nakamura Yukio",RikenBRC,,Female,Asian,"Wilson disease",,,Skin
SKIP,SKIP000171,CiRA086Ai-m1,"iPS Cell",,"Tatsutoshi Nakahata","Center for iPS Cell Research and Application, Kyoto University",22723549,Male,Unknown,"CINCA syndrome",,,Skin
SKIP,SKIP000172,HPS0118,"iPS Cell",,"Tatsutoshi Nakahata","Center for iPS Cell Research and Application, Kyoto University",22723549,Male,Unknown,"CINCA syndrome",,,"Skin "
SKIP,SKIP000173,CiRA188Ai-M1,"iPS Cell",,"Tatsutoshi Nakahata","Center for iPS Cell Research and Application, Kyoto University",22723549,Male,Unknown,"CINCA syndrome",,,Skin
SKIP,SKIP000174,CiRA188Ai-W1,"iPS Cell",,"Tatsutoshi Nakahata","Center for iPS Cell Research and Application, Kyoto University",22723549,Male,Unknown,"CINCA syndrome",,,Skin
SKIP,SKIP000175,GM23392,"iPS Cell",,,,,Male,"African-American : Black",,,,"Lung Fibroblast"
SKIP,SKIP000176,GM23413,"iPS Cell",,,,,Female,"African-American : Black",,,,"Lung Fibroblast"
SKIP,SKIP000177,GM23450,"iPS Cell",,,,,Male,"African-American : Black",,,,Skin
SKIP,SKIP000178,GM23338,"iPS Cell",,,,,Male,Caucasian,,,,Skin
SKIP,SKIP000179,GM23340,"iPS Cell",,,,,Male,Unknown,,,,Skin
SKIP,SKIP000180,GM23394,"iPS Cell",,,,,Male,Black,,,,Skin
SKIP,SKIP000181,GM23225,"iPS Cell",,"George Q Daley","Harvard Stem Cell Institute",18691744,Female,Caucasian,"Huntington disease",,,Skin
SKIP,SKIP000182,GM23226,"iPS Cell",,"George Q Daley","Harvard Stem Cell Institute",18691744,Female,"American Indian","diabetes (mellitus), juvenile-onset",,,Skin
SKIP,SKIP000183,GM23230,"iPS Cell",,"George Q Daley","Harvard Stem Cell Institute",18691744,Male,Caucasian,"Muscular dystrophy, benign [Becker]",,,Skin
SKIP,SKIP000184,GM23232,"iPS Cell",,"George Q Daley","Harvard Stem Cell Institute",18691744,Male,Caucasian,"Adenosine deaminase [ADA] deficiency",,,Skin
SKIP,SKIP000185,iPS-SMA3.6,"iPS Cell",,"Allison D Ebert","University of Wisconsin Madison","20558385 -- 19098894",Male,Caucasian,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]",,,Skin
SKIP,SKIP000186,iPS-WT,"iPS Cell",,"Allison D Ebert","University of Wisconsin Madison","20558385 -- 19098894",Female,Caucasian,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]",,,Skin
SKIP,SKIP000187,GM23262,"iPS Cell",,,,,Male,Caucasian,"Muscular dystrophy, benign [Becker]",,,Skin
SKIP,SKIP000188,R306C-iPS,"iPS Cell",,"James Ellis","Ontario Human iPS Facility, SickKids, University of Toronto",19404254,Female,Caucasian,"Rett syndrome",,,Skin
SKIP,SKIP000189,GM23404,"iPS Cell",,"Joel M. Gottesfeld","The Scripps Research Institute",21040903,Female,Caucasian,"Friedreich ataxia (autosomal recessive)",,,Skin
SKIP,SKIP000190,GM23717,"iPS Cell",,,,,Female,Caucasian,"MUSCULAR DYSTROPHY, CONGENITAL MEROSIN-DEFICIENT, 1A; MDC1A",,,Skin
SKIP,SKIP000191,100-1#8,"iPS Cell",,"Daisuke Ito","Keio University","22848530 -- 23039195",Female,Asian,,,,"Skin "
SKIP,SKIP000192,100-1#16,"iPS Cell",,"Daisuke Ito","Keio University","22848530 -- 23039195",Female,Asian,,,,"Skin "
SKIP,SKIP000193,100-2#1,"iPS Cell",,"Daisuke Ito","Keio University","22848530 -- 23039195",Female,Asian,,,,"Skin "
SKIP,SKIP000194,PARK4-4,Fibroblast,,"Daisuke Ito","Keio University",22848530,,Caucasian,"familial parkinson's disease PARK2",,,"Skin "
SKIP,SKIP000195,PARK4-14,Fibroblast,,"Daisuke Ito","Keio University",22848530,,Caucasian,"familial parkinson's disease PARK2",,,Skin
SKIP,SKIP000196,PS2-1,"iPS Cell",,"Daisuke Ito","Keio University",21900357,Female,Caucasian,"Familiar Alzheimer disease",,,"Skin "
SKIP,SKIP000197,PS2-2,"iPS Cell",,"Daisuke Ito","Keio University",21900357,Female,Caucasian,"Familiar Alzheimer disease",,,"Skin "
SKIP,SKIP000198,PS1-2,"iPS Cell",,"Daisuke Ito","Keio University",21900357,Female,Caucasian,"Familiar Alzheimer disease",,,"Skin "
SKIP,SKIP000199,PS1-4,"iPS Cell",,"Daisuke Ito","Keio University",21900357,Female,Caucasian,"Familiar Alzheimer disease",,,"Skin "
SKIP,SKIP000202,PB1,"iPS Cell",,"Hideyuki Okano","Keio University",23039195,Male,Asian,"Parkinson disease",,,Skin
SKIP,SKIP000203,PB2,"iPS Cell",,"Hideyuki Okano","Keio University",23039195,Male,Asian,"Parkinson disease",,,Skin
SKIP,SKIP000204,PB18,"iPS Cell",,"Hideyuki Okano","Keio University",23039195,Male,Asian,"Parkinson disease",,,Skin
SKIP,SKIP000205,PB20,"iPS Cell",,"Hideyuki Okano","Keio University",23039195,Male,Asian,"Parkinson disease",,,Skin
SKIP,SKIP000206,PA9,"iPS Cell",,"Hideyuki Okano","Keio University",23039195,Female,Asian,"familial parkinson's disease PARK2",,,"Skin "
SKIP,SKIP000207,PA22,"iPS Cell",,"Hideyuki Okano","Keio University",23039195,Female,Asian,"familial parkinson's disease PARK2",,,"Skin "
SKIP,SKIP000218,409B2,"iPS Cell",,"Shinya Yamanaka","Center for iPS Cell Research and Application, Kyoto University",21460823,Female,Caucasian,,,,"Skin "
SKIP,SKIP000219,454E2,"iPS Cell",,"Shinya Yamanaka","Center for iPS Cell Research and Application, Kyoto University",,Female,Asian,,,,Pulp
SKIP,SKIP000220,HiPS-RIKEN-1A,"iPS Cell",,"Tsuyoshi Fujioka","RIKEN BRC",,Female,Asian,,,,"Umbilical cord(Fibroblast)"
SKIP,SKIP000221,HiPS-RIKEN-2A,"iPS Cell",,"Tsuyoshi Fujioka","RIKEN BRC",,Male,Asian,,,,"Umbilical cord(Fibroblast)"
SKIP,SKIP000222,HiPS-RIKEN-12A,"iPS Cell",,"Tsuyoshi Fujioka","RIKEN BRC",,Male,Asian,,,,"Umbilical cord(Fibroblast)"
SKIP,SKIP000223,HPS0078,"iPS Cell",,,,,,Asian,"Bernard-Soulier syndorome",,,"Skin "
